filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,0,"{""name"":""rect"",""x"":130,""y"":12,""width"":227,""height"":34}","{""name"":""Azithrocin 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,1,"{""name"":""rect"",""x"":137,""y"":47,""width"":229,""height"":32}","{""name"":""A- Mycin 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,2,"{""name"":""rect"",""x"":136,""y"":77,""width"":227,""height"":34}","{""name"":""Womenton 200ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,3,"{""name"":""rect"",""x"":136,""y"":116,""width"":205,""height"":38}","{""name"":""Resq 60 Licap"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,4,"{""name"":""rect"",""x"":140,""y"":159,""width"":113,""height"":28}","{""name"":""Jorvan"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,5,"{""name"":""rect"",""x"":141,""y"":198,""width"":203,""height"":34}","{""name"":""Winop 30mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,6,"{""name"":""rect"",""x"":140,""y"":240,""width"":176,""height"":45}","{""name"":""Zikid 100ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,7,"{""name"":""rect"",""x"":146,""y"":286,""width"":188,""height"":44}","{""name"":""Zofra ODT 8"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,8,"{""name"":""rect"",""x"":146,""y"":333,""width"":181,""height"":30}","{""name"":""Zithrox 500"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,9,"{""name"":""rect"",""x"":147,""y"":372,""width"":199,""height"":35}","{""name"":""Xenobese 120"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
